timestamp	schemaVersion	decisionKind	admissionVerdict	admissionReasonCodes	route	decisionReasonCodes	classification	requestId	sessionId	actualModel	targetModel	matchStatus	classificationBasis	matchDeltaMs	sessionFile	originalPrompt	assistantText	toolCalls	toolResults
2026-07-10T21:51:32.171Z	1	initial	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	initial_user_request	25					
2026-07-10T21:51:35.700Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:37.976Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:41.064Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:43.068Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:45.713Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:48.265Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:50.338Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:51:52.798Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:52:07.719Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
